LowBirthWeightIndLowBirthWeightIndDesc,BirthAgeGroupAgeGroupDesc,YearBirthYearDesc,CountyCountyName,BirthCount,Birth Count_PCT,SORT
Low birth weight (<2500g),35 to 39,2006,Coshocton,4,0.9,456
Low birth weight (<2500g),40 to 44,2006,Coshocton,*,*,457
Low birth weight (<2500g),45 and older,2006,Coshocton,0,0.0,458
Normal birth weight (2500g+),Less than 15,2006,Coshocton,0,0.0,460
Normal birth weight (2500g+),15 to 17,2006,Coshocton,*,*,461
Normal birth weight (2500g+),18 to 19,2006,Coshocton,30,7.0,462
Normal birth weight (2500g+),20 to 24,2006,Coshocton,129,29.9,463
Normal birth weight (2500g+),25 to 29,2006,Coshocton,136,31.6,464
Normal birth weight (2500g+),30 to 34,2006,Coshocton,51,11.8,465
Normal birth weight (2500g+),35 to 39,2006,Coshocton,27,6.3,466
Normal birth weight (2500g+),40 to 44,2006,Coshocton,*,*,467
Normal birth weight (2500g+),45 and older,2006,Coshocton,0,0.0,468
Low birth weight (<2500g),Less than 15,2006,Crawford,0,0.0,480
Low birth weight (<2500g),15 to 17,2006,Crawford,0,0.0,481
Low birth weight (<2500g),18 to 19,2006,Crawford,5,1.0,482
Low birth weight (<2500g),20 to 24,2006,Crawford,9,1.8,483
Low birth weight (<2500g),25 to 29,2006,Crawford,12,2.4,484
Low birth weight (<2500g),30 to 34,2006,Crawford,5,1.0,485
Low birth weight (<2500g),35 to 39,2006,Crawford,1,0.2,486
Low birth weight (<2500g),40 to 44,2006,Crawford,*,*,487
Low birth weight (<2500g),45 and older,2006,Crawford,*,*,488
Normal birth weight (2500g+),Less than 15,2006,Crawford,*,*,490
Normal birth weight (2500g+),15 to 17,2006,Crawford,*,*,491
Normal birth weight (2500g+),18 to 19,2006,Crawford,47,9.6,492
Normal birth weight (2500g+),20 to 24,2006,Crawford,149,30.3,493
Normal birth weight (2500g+),25 to 29,2006,Crawford,130,26.4,494
Normal birth weight (2500g+),30 to 34,2006,Crawford,73,14.8,495
Normal birth weight (2500g+),35 to 39,2006,Crawford,35,7.1,496
Normal birth weight (2500g+),40 to 44,2006,Crawford,*,*,497
Normal birth weight (2500g+),45 and older,2006,Crawford,0,0.0,498
Low birth weight (<2500g),Less than 15,2006,Cuyahoga,16,0.1,510
Low birth weight (<2500g),15 to 17,2006,Cuyahoga,75,0.4,511
Low birth weight (<2500g),18 to 19,2006,Cuyahoga,172,1.0,512
Low birth weight (<2500g),20 to 24,2006,Cuyahoga,451,2.7,513
Low birth weight (<2500g),25 to 29,2006,Cuyahoga,396,2.4,514
Low birth weight (<2500g),30 to 34,2006,Cuyahoga,357,2.1,515
Low birth weight (<2500g),35 to 39,2006,Cuyahoga,230,1.4,516
Low birth weight (<2500g),40 to 44,2006,Cuyahoga,59,0.4,517
Low birth weight (<2500g),45 and older,2006,Cuyahoga,3,0.0,518
Normal birth weight (2500g+),Less than 15,2006,Cuyahoga,37,0.2,520
Normal birth weight (2500g+),15 to 17,2006,Cuyahoga,599,3.6,521
Normal birth weight (2500g+),18 to 19,2006,Cuyahoga,1065,6.4,522
Normal birth weight (2500g+),20 to 24,2006,Cuyahoga,3551,21.3,523
Normal birth weight (2500g+),25 to 29,2006,Cuyahoga,3926,23.5,524
Normal birth weight (2500g+),30 to 34,2006,Cuyahoga,3438,20.6,525
Normal birth weight (2500g+),35 to 39,2006,Cuyahoga,1934,11.6,526
Normal birth weight (2500g+),40 to 44,2006,Cuyahoga,347,2.1,527
Normal birth weight (2500g+),45 and older,2006,Cuyahoga,*,*,528
Low birth weight (<2500g),Less than 15,2006,Darke,0,0.0,540
Low birth weight (<2500g),15 to 17,2006,Darke,*,*,541
Low birth weight (<2500g),18 to 19,2006,Darke,7,1.0,542
Low birth weight (<2500g),20 to 24,2006,Darke,12,1.7,543
Low birth weight (<2500g),25 to 29,2006,Darke,15,2.2,544
Low birth weight (<2500g),30 to 34,2006,Darke,5,0.7,545
Low birth weight (<2500g),35 to 39,2006,Darke,4,0.6,546
Low birth weight (<2500g),40 to 44,2006,Darke,2,0.3,547
Low birth weight (<2500g),45 and older,2006,Darke,0,0.0,548
Normal birth weight (2500g+),Less than 15,2006,Darke,0,0.0,550
Normal birth weight (2500g+),15 to 17,2006,Darke,*,*,551
Normal birth weight (2500g+),18 to 19,2006,Darke,53,7.6,552
Normal birth weight (2500g+),20 to 24,2006,Darke,207,29.7,553
Normal birth weight (2500g+),25 to 29,2006,Darke,197,28.3,554
Normal birth weight (2500g+),30 to 34,2006,Darke,114,16.4,555
Normal birth weight (2500g+),35 to 39,2006,Darke,45,6.5,556
Normal birth weight (2500g+),40 to 44,2006,Darke,*,*,557
